sh_code;sh_level;kingdom;phylum;class;order;family;genus;species;lowest_taxon;lowest_taxon_level
SH0762478.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Polyporales;Ganodermataceae;Ganoderma;Ganoderma_applanatum;Ganoderma_applanatum;species
SH0822681.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Pleurotus;Pleurotus_pulmonarius;Pleurotus_pulmonarius;species
SH0848643.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Kretzschmaria;Kretzschmaria_deusta;Kretzschmaria_deusta;species
SH0857509.10FU;1,5;Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;Filobasidium_chernovii;Filobasidium_chernovii;species
SH0860726.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Hyaloriaceae;Stypella;Stypella_grilletii;Stypella_grilletii;species
SH0865870.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Clitopilus;Clitopilus_prunulus;Clitopilus_prunulus;species
SH0869773.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Sistotrema;Sistotrema_brinkmannii;Sistotrema_brinkmannii;species
SH0889625.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Hypholoma;Hypholoma_fasciculare;Hypholoma_fasciculare;species
SH0897300.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Helotiales;Leptodontidiaceae;Leptodontidium;Leptodontidium_sp;Leptodontidium;genus
SH0908295.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Helotiales;Discinellaceae;Gyoerffyella;Gyoerffyella_entomobryoides;Gyoerffyella_entomobryoides;species
SH0915129.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Helotiales;Gelatinodiscaceae;Ascocoryne;Ascocoryne_albida;Ascocoryne_albida;species
SH0916058.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cystostereaceae;Crustomyces;Crustomyces_subabruptus;Crustomyces_subabruptus;species
SH0936739.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Botryobasidiaceae;Botryobasidium;Botryobasidium_sp;Botryobasidium;genus
SH0940797.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Tolypocladium;Tolypocladium_sp;Tolypocladium;genus
SH0959532.10FU;1,5;Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Orbilia;Orbilia_xanthostigma;Orbilia_xanthostigma;species
SH0962330.10FU;1,5;Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium;Cladosporium_herbarum;Cladosporium_herbarum;species
SH0965573.10FU;1,5;Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;Naganishia_albida;Naganishia_albida;species
SH0968712.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_borealis;Armillaria_borealis;species
SH0979751.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Auriculariales_fam_Incertae_sedis;Basidiodendron;Basidiodendron_eyrei;Basidiodendron_eyrei;species
SH1002595.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Sporothrix;Sporothrix_sp;Sporothrix;genus
SH1016964.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Xylariales;Diatrypaceae;Eutypa;Eutypa_spinosa;Eutypa_spinosa;species
SH1020507.10FU;1,5;Fungi;Fungi_phy_unspecified;Fungi_cls_unspecified;Fungi_ord_unspecified;Fungi_fam_unspecified;Fungi_gen_unspecified;Fungi_sp;Fungi_gen_unspecified;genus
SH0738823.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_ord_unspecified;Leotiomycetes_fam_unspecified;Leotiomycetes_gen_unspecified;Leotiomycetes_sp;Leotiomycetes_gen_unspecified;genus
SH0748961.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;Mycena_haematopus;Mycena_haematopus;species
SH0762773.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Polyporales;Ganodermataceae;Ganoderma;Ganoderma_adspersum;Ganoderma_adspersum;species
SH0842394.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Chaetosphaeria;Chaetosphaeria_myriocarpa;Chaetosphaeria_myriocarpa;species
SH0858733.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Helotiales;Mollisiaceae;Phialocephala;Phialocephala_dimorphospora;Phialocephala_dimorphospora;species
SH0858751.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Helotiales;Mollisiaceae;Mollisiaceae_gen_unspecified;Mollisiaceae_sp;Mollisiaceae_gen_unspecified;genus
SH0862095.10FU;1,5;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Rhinocladiella;Rhinocladiella_sp;Rhinocladiella;genus
SH0866898.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Rickenellaceae;Peniophorella;Peniophorella_praetermissa;Peniophorella_praetermissa;species
SH0866901.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Rickenellaceae;Peniophorella;Peniophorella_pubera;Peniophorella_pubera;species
SH0872510.10FU;1,5;Fungi;Basidiomycota;Dacrymycetes;Dacrymycetales;Dacrymycetaceae;Calocera;Calocera_cornea;Calocera_cornea;species
SH0881756.10FU;1,5;Fungi;Fungi_phy_unspecified;Fungi_cls_unspecified;Fungi_ord_unspecified;Fungi_fam_unspecified;Fungi_gen_unspecified;Fungi_sp;Fungi_gen_unspecified;genus
SH0892802.10FU;1,5;Fungi;Basidiomycota;Atractiellomycetes;Atractiellales;Phleogenaceae;Helicogloea;Helicogloea_sebacea;Helicogloea_sebacea;species
SH0911094.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Polyporales;Meruliaceae;Meruliaceae_gen_unspecified;Meruliaceae_sp;Meruliaceae_gen_unspecified;genus
SH0913864.10FU;1,5;Eukaryota_kgd_Incertae_sedis;Eukaryota_kgd_Incertae_sedis_phy_unspecified;Eukaryota_kgd_Incertae_sedis_cls_unspecified;Eukaryota_kgd_Incertae_sedis_ord_unspecified;Eukaryota_kgd_Incertae_sedis_fam_unspecified;Eukaryota_kgd_Incertae_sedis_gen_unspecified;Eukaryota_kgd_Incertae_sedis_sp;Eukaryota_kgd_Incertae_sedis;kingdom
SH0928352.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Polyporales;Phanerochaetaceae;Bjerkandera;Bjerkandera_adusta;Bjerkandera_adusta;species
